time,state,V,label,unix_time,state_numeric,daylight,too_dark
2024-08-06 02:12:07+01:00,NoFlood,8176,,1722906727,-1,0,True
2024-08-06 02:18:07+01:00,NoFlood,8176,,1722907087,-1,0,True
2024-08-06 02:24:07+01:00,NoFlood,8176,,1722907447,-1,0,True
2024-08-06 02:30:07+01:00,NoFlood,8176,,1722907807,-1,0,True
2024-08-06 02:36:07+01:00,NoFlood,8176,,1722908167,-1,0,True
2024-08-06 02:42:07+01:00,NoFlood,8176,,1722908527,-1,0,True
2024-08-06 02:48:07+01:00,NoFlood,8176,,1722908887,-1,0,True
2024-08-06 02:54:07+01:00,Flood,8160,,1722909247,-1,0,True
2024-08-06 03:00:07+01:00,Flood,8160,,1722909607,-1,0,True
2024-08-06 03:06:07+01:00,Flood,8160,,1722909967,-1,0,True
2024-08-06 03:12:07+01:00,NoFlood,8176,,1722910327,-1,0,True
2024-08-06 03:18:07+01:00,Flood,8160,,1722910687,-1,0,True
2024-08-06 03:24:07+01:00,Flood,8160,,1722911047,-1,0,True
2024-08-06 03:30:07+01:00,Flood,8160,,1722911407,-1,0,True
2024-08-06 03:36:07+01:00,NoFlood,8176,,1722911767,-1,0,True
2024-08-06 03:42:07+01:00,NoFlood,8176,,1722912127,-1,0,True
2024-08-06 03:48:07+01:00,NoFlood,8176,,1722912487,-1,0,True
2024-08-06 03:54:07+01:00,NoFlood,8176,,1722912847,-1,0,True
2024-08-06 04:00:07+01:00,NoFlood,8176,,1722913207,-1,0,True
2024-08-06 04:06:07+01:00,NoFlood,8176,,1722913567,-1,0,True
2024-08-06 04:12:07+01:00,Flood,8160,,1722913927,-1,0,True
2024-08-06 04:18:07+01:00,NoFlood,8176,,1722914287,-1,0,True
2024-08-06 04:24:07+01:00,NoFlood,8176,,1722914647,-1,0,True
2024-08-06 04:30:07+01:00,NoFlood,8176,,1722915007,-1,0,True
2024-08-06 04:36:07+01:00,Flood,8160,,1722915367,-1,0,True
2024-08-06 04:42:07+01:00,Flood,8160,,1722915727,-1,0,True
2024-08-06 04:48:07+01:00,NoFlood,8176,,1722916087,-1,0,True
2024-08-06 04:54:07+01:00,Flood,8160,,1722916447,-1,0,True
2024-08-06 05:00:07+01:00,Flood,8160,,1722916807,-1,0,True
2024-08-06 05:12:07+01:00,NoFlood,8176,,1722917527,-1,0,True
2024-08-06 05:18:07+01:00,NoFlood,8176,,1722917887,-1,0,True
2024-08-06 05:24:07+01:00,NoFlood,8176,,1722918247,-1,0,True
2024-08-06 05:30:07+01:00,NoFlood,8176,,1722918607,-1,0,True
2024-08-06 05:36:07+01:00,NoFlood,8176,,1722918967,-1,0,True
2024-08-06 05:42:07+01:00,NoFlood,8176,,1722919327,-1,0,True
2024-08-06 05:48:07+01:00,NoFlood,8176,,1722919687,-1,0,True
2024-08-06 05:54:07+01:00,NoFlood,8176,,1722920047,-1,0,True
2024-08-06 06:00:07+01:00,NoFlood,8176,,1722920407,-1,0,True
2024-08-06 06:06:07+01:00,Flood,8160,,1722920767,-1,0,True
2024-08-06 06:12:06+01:00,NoFlood,8176,,1722921126,-1,0,True
2024-08-06 06:18:07+01:00,NoFlood,8176,,1722921487,-1,0,True
2024-08-06 06:24:07+01:00,Flood,8160,,1722921847,-1,0,True
2024-08-06 06:30:07+01:00,NoFlood,8176,,1722922207,-1,0,True
2024-08-06 06:36:07+01:00,NoFlood,8176,,1722922567,-1,0,True
2024-08-06 06:42:07+01:00,NoFlood,8176,,1722922927,-1,0,True
2024-08-06 06:48:07+01:00,NoFlood,8176,,1722923287,-1,0,True
2024-08-06 06:54:07+01:00,NoFlood,8176,,1722923647,-1,0,True
2024-08-06 07:00:07+01:00,NoFlood,8176,,1722924007,-1,0,True
2024-08-06 07:06:07+01:00,NoFlood,8176,,1722924367,-1,0,True
2024-08-06 07:12:07+01:00,NoFlood,8176,,1722924727,-1,0,True
2024-08-06 07:18:07+01:00,NoFlood,8176,,1722925087,-1,0,True
2024-08-06 07:24:07+01:00,Flood,8160,,1722925447,-1,0,True
2024-08-06 07:30:06+01:00,Flood,8160,,1722925806,-1,0,True
2024-08-06 07:36:07+01:00,NoFlood,8176,,1722926167,-1,0,True
2024-08-06 07:42:07+01:00,Flood,8160,,1722926527,-1,0,True
2024-08-06 07:48:07+01:00,Flood,8160,,1722926887,-1,0,True
2024-08-06 07:54:07+01:00,Flood,8160,,1722927247,-1,0,True
2024-08-06 08:00:07+01:00,NoFlood,8176,,1722927607,-1,0,True
2024-08-06 08:06:07+01:00,NoFlood,8176,,1722927967,-1,0,True
2024-08-06 08:12:07+01:00,Flood,8160,,1722928327,-1,0,True
